Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalPastDueIncidents,DebtRatioBucket,AgeBand,RiskProbability,RiskTier
1,1,0.766126609,45,2,0.802982129,9120.0,13,0,6,0,2.0,2,High (60-100%),40-49,0.8331760723337729,High Risk
2,0,0.957151019,40,0,0.121876201,2600.0,4,0,0,0,1.0,0,Low (<20%),30-39,0.7014119562351281,High Risk
3,0,0.65818014,38,1,0.085113375,3042.0,2,1,0,0,0.0,2,Low (<20%),30-39,0.6299347656550267,High Risk
4,0,0.233809776,30,0,0.036049682,3300.0,5,0,0,0,0.0,0,Low (<20%),18-29,0.33737864848723054,Medium Risk
5,0,0.9072394,49,1,0.024925695,63588.0,7,0,1,0,0.0,1,Low (<20%),40-49,0.4602687804891157,Medium Risk
6,0,0.213178682,74,0,0.375606969,3500.0,3,0,1,0,1.0,0,Moderate (20-40%),70+,0.19654317265185717,Low Risk
7,0,0.305682465,57,0,5710.0,5400.0,8,0,3,0,0.0,0,Very High (>100%),50-59,0.28133382697466475,Medium Risk
8,0,0.754463648,39,0,0.209940017,3500.0,8,0,0,0,0.0,0,Moderate (20-40%),30-39,0.6130765364208364,High Risk
9,0,0.116950644,27,0,46.0,5400.0,2,0,0,0,0.0,0,Very High (>100%),18-29,0.2645730008563136,Medium Risk
10,0,0.189169052,57,0,0.606290901,23684.0,9,0,4,0,2.0,0,High (60-100%),50-59,0.2708196893913023,Medium Risk
11,0,0.644225962,30,0,0.30947621,2500.0,5,0,0,0,0.0,0,Moderate (20-40%),18-29,0.572799480629049,High Risk
12,0,0.01879812,51,0,0.53152876,6501.0,7,0,2,0,2.0,0,Elevated (40-60%),50-59,0.2237769605561021,Medium Risk
13,0,0.010351857,46,0,0.298354075,12454.0,13,0,2,0,2.0,0,Moderate (20-40%),40-49,0.24788162478270417,Medium Risk
14,1,0.964672555,40,3,0.382964747,13700.0,9,3,1,1,2.0,7,Moderate (20-40%),30-39,0.9254089267459485,High Risk
15,0,0.019656581,76,0,477.0,0.0,6,0,1,0,0.0,0,Very High (>100%),70+,0.1406929306442073,Low Risk
16,0,0.548458062,64,0,0.209891754,11362.0,7,0,1,0,2.0,0,Moderate (20-40%),60-69,0.39161670657857184,Medium Risk
17,0,0.061086118,78,0,2058.0,5400.0,10,0,2,0,0.0,0,Very High (>100%),70+,0.1527098763634702,Low Risk
18,0,0.166284079,53,0,0.18827406,8800.0,7,0,0,0,0.0,0,Low (<20%),50-59,0.21776063791265413,Medium Risk
19,0,0.221812771,43,0,0.527887839,3280.0,7,0,1,0,2.0,0,Elevated (40-60%),40-49,0.33575911534813835,Medium Risk
20,0,0.602794411,25,0,0.065868263,333.0,2,0,0,0,0.0,0,Low (<20%),18-29,0.5590441615308326,High Risk
21,0,0.200923382,43,0,0.430046338,12300.0,10,0,2,0,0.0,0,Elevated (40-60%),40-49,0.31439533751919474,Medium Risk
22,1,0.025655677,38,0,0.475841386,3000.0,7,0,1,0,2.0,0,Elevated (40-60%),30-39,0.26018341191488004,Medium Risk
23,0,0.9999999,39,0,0.241103559,2500.0,4,0,0,0,0.0,0,Moderate (20-40%),30-39,0.7176111323321286,High Risk
24,0,0.075426584,32,0,0.085512189,7916.0,6,0,0,0,0.0,0,Low (<20%),30-39,0.24348415544887425,Medium Risk
25,0,0.04656027,58,0,0.241621845,2416.0,9,0,1,0,0.0,0,Moderate (20-40%),50-59,0.2042843019702976,Medium Risk
26,1,0.392248482,50,0,1.595253368,4676.0,14,0,3,0,1.0,0,Very High (>100%),40-49,0.4870605092280002,Medium Risk
27,0,0.052436094,58,0,0.097672186,8333.0,22,0,1,0,0.0,0,Low (<20%),50-59,0.2542621011532411,Medium Risk
28,0,0.034421473,69,0,0.042383047,2500.0,17,0,0,0,1.0,0,Low (<20%),60-69,0.19476284708581248,Low Risk
29,0,0.452515828,24,0,0.011761247,3400.0,1,0,0,0,0.0,0,Low (<20%),18-29,0.45520515798956773,Medium Risk
30,0,0.392994586,58,2,0.436102527,5500.0,15,0,1,0,0.0,2,Elevated (40-60%),50-59,0.501878778234883,High Risk
31,0,0.704073982,28,1,0.155201143,4200.0,8,0,0,0,0.0,1,Low (<20%),18-29,0.6782530783228823,High Risk
32,0,0.9999999,24,0,0.472703063,750.0,1,0,0,0,0.0,0,Elevated (40-60%),18-29,0.7578648433407734,High Risk
33,0,0.083418009,62,0,977.0,5400.0,6,0,1,0,0.0,0,Very High (>100%),60-69,0.17602294279205058,Low Risk
34,0,0.186868556,57,0,0.313812313,7000.0,9,0,2,0,0.0,0,Moderate (20-40%),50-59,0.27084623055350837,Medium Risk
35,0,0.693329681,42,2,0.257731959,2230.0,7,0,0,0,0.0,2,Moderate (20-40%),40-49,0.669022270536005,High Risk
36,0,0.0,64,0,0.073538769,11000.0,9,0,1,0,0.0,0,Low (<20%),60-69,0.1504944214322536,Low Risk
37,0,0.881836362,50,3,0.567858035,4000.0,9,0,1,0,1.0,3,Elevated (40-60%),40-49,0.8020545576760796,High Risk
38,0,0.9999999,75,1,0.134078212,3400.0,1,0,1,0,1.0,1,Low (<20%),70+,0.6383680546388764,High Risk
39,0,0.363636364,26,0,0.00999001,1000.0,1,0,0,0,0.0,0,Low (<20%),18-29,0.406769771749625,Medium Risk
40,0,0.304490668,52,0,0.808340474,3500.0,10,0,2,0,0.0,0,High (60-100%),50-59,0.3691429361811277,Medium Risk
41,0,0.71998531,41,1,0.539554464,5700.0,14,0,1,0,0.0,1,Elevated (40-60%),40-49,0.6923769074084447,High Risk
